Page,Class ID,Class Name,Confidence,X1,Y1,X2,Y2
1,1,Seal,0.8187,1365.2,322.21,1860.02,772.9
1,2,Signature,0.5833,1580.6,375.57,1764.29,476.34
3,1,Seal,0.7745,1503.97,2399.4,1951.62,2863.47
3,2,Signature,0.75,1577.54,2487.29,1780.33,2597.0
